// This file contains "set words" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "daily" is "XXXX-XX-XX"
// FORMAT: "set-word","normalized-set-word"
"Annually","XXXX"
"annually","XXXX"
"Monthly","XXXX-XX"
"monthly","XXXX-XX"
"Daily","XXXX-XX-XX"
"daily","XXXX-XX-XX"
"Weekly","XXXX-WXX"
"weekly","XXXX-WXX"
