// This file contains "unit words for duration" and their normalized expressions
// according to TIMEX3 format.
// For example, the normalized value of "week" is "W"
// FORMAT: "unit-word","normalized-unit-word"
"hour","H"
"hours","H"
"minute","M"
"minutes","M"
"second","S"
"seconds","S"
"hrs","H"
"hr","H"
"min","M"
"mins","M"
"m","M"

